code,tipo,medida,estado,pago,cliente,ubicacion,lat,lng,entrega,retiro,obsEntrega,obsRetiro,tareas
C-127,Pañol,20',alquilado,retrasado,Constructora Riolar,"Ruta 9 Km 42, Escobar",-34.3486,-58.7931,2026-03-27,2026-08-20,,,
C-128,Oficina,20',empresa,al_dia,,Base Operativa — Timbúes,-32.6642,-60.7932,,,,,
C-129,Oficina,40',reparacion,al_dia,,Taller propio — Timbúes,-32.6650,-60.7940,,,,,Cambiar cerradura
C-130,Pañol,20',alquilado,al_dia,Consorcio Ruta 9,"Parque Industrial Tigre, Nave 3",-34.4198,-58.6032,2025-12-11,2026-10-14,,,Limpieza profunda
C-131,Pañol,20',empresa,al_dia,,Base Operativa — Timbúes,-32.6642,-60.7932,,,,,
C-132,Pañol,40',alquilado,al_dia,Constructora Riolar,"Ruta 9 Km 42, Escobar",-34.3486,-58.7931,2025-12-18,2026-09-02,,,
C-133,Pañol,10',alquilado,al_dia,Tecnorural SRL,"Av. Calchaquí 5600, Quilmes",-34.7415,-58.2733,2026-07-01,2026-11-06,"Entregado con 2 llaves, aire funcionando, piso sin marcas.",,
C-134,Comedor,40',empresa,al_dia,,Base Operativa — Timbúes,-32.6642,-60.7932,,,,,Sellar filtración de techo
C-135,Comedor,20',alquilado,al_dia,Obra Puerto Norte,"Ruta 9 Km 42, Escobar",-34.3486,-58.7931,2026-01-09,2026-11-17,"Entregado con 2 llaves, aire funcionando, piso sin marcas.",,
C-136,Pañol,20',reparacion,al_dia,,Taller propio — Timbúes,-32.6650,-60.7940,,,,,
C-137,Oficina,20',alquilado,al_dia,Tecnorural SRL,"Av. Calchaquí 5600, Quilmes",-34.7415,-58.2733,2026-01-20,2026-09-23,"Entregado con 2 llaves, aire funcionando, piso sin marcas.",,
C-138,Oficina,20',alquilado,al_dia,Ingeniería Delta,"Av. Calchaquí 5600, Quilmes",-34.7415,-58.2733,2026-01-29,2026-09-15,"Entregado con 2 llaves, aire funcionando, piso sin marcas.",,
C-139,Oficina,10',empresa,al_dia,,Base Operativa — Timbúes,-32.6642,-60.7932,,,,,
C-140,Pañol,10',alquilado,al_dia,Minera Cerro Azul,"Parque Industrial Tigre, Nave 3",-34.4198,-58.6032,2026-05-25,2026-08-21,,,
C-141,Oficina,20',reservado,al_dia,Minera Cerro Azul,Base Operativa — Timbúes,-32.6642,-60.7932,,,,,
C-142,Pañol,20',alquilado,al_dia,Ingeniería Delta,"Ruta 6 Km 118, Cañuelas",-35.0501,-58.7594,2026-01-17,2026-11-09,,,
C-143,Pañol,20',alquilado,al_dia,Ingeniería Delta,"Parque Industrial Pilar, Lote 7",-34.4587,-58.9142,2026-08-05,2026-10-21,"Entregado con 2 llaves, aire funcionando, piso sin marcas.",,
C-144,Comedor,10',alquilado,retrasado,Ingeniería Delta,"Ruta 9 Km 42, Escobar",-34.3486,-58.7931,2025-12-17,2026-10-25,"Entregado con 2 llaves, aire funcionando, piso sin marcas.",,Pintura exterior
C-145,Pañol,10',empresa,al_dia,,Base Operativa — Timbúes,-32.6642,-60.7932,,,,,
C-146,Pañol,10',alquilado,al_dia,Constructora Riolar,"Parque Industrial Pilar, Lote 7",-34.4587,-58.9142,2026-06-23,2026-10-18,"Entregado con 2 llaves, aire funcionando, piso sin marcas.",,
C-147,Pañol,20',alquilado,al_dia,Metalúrgica Sanz,"Ruta 6 Km 118, Cañuelas",-35.0501,-58.7594,2026-02-19,2026-08-27,"Entregado con 2 llaves, aire funcionando, piso sin marcas.",,Reparar aire acondicionado | Revisión eléctrica
C-148,Comedor,40',alquilado,al_dia,Obra Puerto Norte,"Av. Mitre 3400, Avellaneda",-34.6634,-58.3651,2026-03-02,2026-08-29,,,
C-149,Comedor,20',empresa,al_dia,,Base Operativa — Timbúes,-32.6642,-60.7932,,,,,
C-150,Pañol,20',reservado,al_dia,Áridos del Sur,Base Operativa — Timbúes,-32.6642,-60.7932,,,,,Limpieza profunda
